Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
Argentina,2022,"Horses; live, pure-bred breeding animals",Export,1108850.0,55800.0,Number of items,115.0,1
Argentina,2022,"Horses; live, pure-bred breeding animals",Import,3515142.31,84200.0,Number of items,195.0,1
Argentina,2022,"Horses; live, other than pure-bred breeding animals",Export,18681673.91,1408994.0,Number of items,3287.0,1
Argentina,2022,"Horses; live, other than pure-bred breeding animals",Import,2015340.99,91450.0,Number of items,192.0,1
Argentina,2022,"Cattle; live, pure-bred breeding animals",Export,118498.0,35865.0,Number of items,71.0,1
Argentina,2022,"Cattle; live, pure-bred breeding animals",Import,84701.47,24305.0,Number of items,47.0,1
Argentina,2022,"Swine; live, pure-bred breeding animals",Import,1509527.44,48080.0,Number of items,372.0,1
Argentina,2022,Sheep; live,Export,11197.0,1513.0,Number of items,14.0,1
Argentina,2022,Sheep; live,Import,39492.25,2381.0,Number of items,23.0,1
Argentina,2022,Goats; live,Import,1757.4,110.0,Number of items,2.0,1
Argentina,2022,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Import,19531349.21,32423.62,Number of items,713795.0,1
Argentina,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Import,47247.16,491.0,Number of items,216.0,1
Argentina,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Export,1306785.0,29904.25,Number of items,1914.0,1
Argentina,2022,"Insects; live, bees",Import,2626.47,1.73,Number of items,1100.0,1
Argentina,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Import,5962.25,84.0,Number of items,120.0,1
Argentina,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Export,94406.36,10203.2,Weight in kilograms,10203.2,2
Argentina,2022,"Meat; of bovine animals, boneless cuts, fresh or chilled",Import,1851969.98,148370.59,Weight in kilograms,148370.59,2
Argentina,2022,"Meat; of bovine animals, boneless cuts, fresh or chilled",Export,841532737.96,92244510.62,Weight in kilograms,92244510.62,2
Argentina,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,188699261.93,101261185.0,Weight in kilograms,101261185.0,2
Argentina,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Import,241337.93,125860.1,Weight in kilograms,125860.1,2
Argentina,2022,"Meat; of bovine animals, boneless cuts, frozen",Export,2404942522.8,435450143.0,Weight in kilograms,435450143.0,2
Argentina,2022,"Meat; of bovine animals, boneless cuts, frozen",Import,22496000.47,4879355.7,Weight in kilograms,4879355.7,2
Argentina,2022,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Import,66617.01,26158.2,Weight in kilograms,26158.2,2
Argentina,2022,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Export,132961.73,460565.0,Weight in kilograms,460565.0,2
Argentina,2022,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Import,99046867.65,36855531.0,Weight in kilograms,36855531.0,2
Argentina,2022,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Export,1285139.72,183474.0,Weight in kilograms,183474.0,2
Argentina,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Export,171220.67,126307.0,Weight in kilograms,126307.0,2
Argentina,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,4504393.98,1362939.0,Weight in kilograms,1362939.0,2
Argentina,2022,"Meat; of goats, fresh, chilled or frozen",Export,324432.69,272727.0,Weight in kilograms,272727.0,2
Argentina,2022,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Export,35955187.84,11362093.0,Weight in kilograms,11362093.0,2
Argentina,2022,"Offal, edible; of bovine animals, fresh or chilled",Export,3303758.97,440027.53,Weight in kilograms,440027.53,2
Argentina,2022,"Offal, edible; of bovine animals, tongues, frozen",Export,22806054.16,6197196.0,Weight in kilograms,6197196.0,2
Argentina,2022,"Offal, edible; of bovine animals, tongues, frozen",Import,17108.67,5000.0,Weight in kilograms,5000.0,2
Argentina,2022,"Offal, edible; of bovine animals, livers, frozen",Import,353199.39,314871.0,Weight in kilograms,314871.0,2
Argentina,2022,"Offal, edible; of bovine animals, livers, frozen",Export,41988153.24,30189264.1,Weight in kilograms,30189264.1,2
Argentina,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Import,467519.78,102911.35,Weight in kilograms,102911.35,2
Argentina,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Export,95193100.21,56039850.5,Weight in kilograms,56039850.5,2
Argentina,2022,"Offal, edible; of swine, livers, frozen",Export,54618.8,138497.0,Weight in kilograms,138497.0,2
Argentina,2022,"Offal, edible; of swine, (other than livers), frozen",Import,52402.01,44044.87,Weight in kilograms,44044.87,2
Argentina,2022,"Offal, edible; of swine, (other than livers), frozen",Export,1042951.66,3082902.0,Weight in kilograms,3082902.0,2
Argentina,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Export,529001.15,229389.4,Weight in kilograms,229389.4,2
Argentina,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Export,62878054.17,47240660.0,Weight in kilograms,47240660.0,2
Argentina,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Import,226633.69,141328.0,Weight in kilograms,141328.0,2
Argentina,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Import,20989185.77,10076991.5,Weight in kilograms,10076991.5,2
Argentina,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Export,235960082.19,132381169.0,Weight in kilograms,132381169.0,2
Argentina,2022,"Meat and edible offal; of turkeys, cuts and offal, frozen",Import,443749.76,87535.0,Weight in kilograms,87535.0,2
Argentina,2022,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",Export,3134658.73,823400.0,Weight in kilograms,823400.0,2
Argentina,2022,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Import,1268135.83,652148.29,Weight in kilograms,652148.29,2
Argentina,2022,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",Import,314893.33,19523.03,Weight in kilograms,19523.03,2
Argentina,2022,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",Import,4359864.73,407731.03,Weight in kilograms,407731.03,2
Argentina,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",Import,2457791.9,622020.0,Weight in kilograms,622020.0,2
Argentina,2022,"Fish; live, ornamental, freshwater",Import,377589.05,4951.66,Weight in kilograms,4951.66,3
Argentina,2022,"Fish; live, ornamental, other than freshwater",Import,164048.87,1486.19,Weight in kilograms,1486.19,3
Argentina,2022,"Fish; live, n.e.c. in heading 0301",Import,13092.68,175.0,Weight in kilograms,175.0,3
Argentina,2022,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,63126762.95,7569079.0,Weight in kilograms,7569079.0,3
Argentina,2022,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,132032.22,30208.3,Weight in kilograms,30208.3,3
Argentina,2022,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,762763.27,92993.2,Weight in kilograms,92993.2,3
Argentina,2022,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,8048805.51,985631.0,Weight in kilograms,985631.0,3
Argentina,2022,"Fish; frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,2864234.46,4202301.0,Weight in kilograms,4202301.0,3
Argentina,2022,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,211150.53,122500.0,Weight in kilograms,122500.0,3
Argentina,2022,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,66589.85,37820.0,Weight in kilograms,37820.0,3
Argentina,2022,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,280067.83,216000.0,Weight in kilograms,216000.0,3
Argentina,2022,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3277.54,551.0,Weight in kilograms,551.0,3
Argentina,2022,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,54584142.84,35041117.7,Weight in kilograms,35041117.7,3
Argentina,2022,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,329150.9,169867.7,Weight in kilograms,169867.7,3
Argentina,2022,"Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",Export,1750160.81,1424232.2,Weight in kilograms,1424232.2,3
Argentina,2022,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,6519333.03,2332810.0,Weight in kilograms,2332810.0,3
Argentina,2022,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",Export,54107512.48,2002309.5,Weight in kilograms,2002309.5,3
Argentina,2022,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1049211.35,35910.0,Weight in kilograms,35910.0,3
Argentina,2022,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,25730.0,25000.0,Weight in kilograms,25000.0,3
Argentina,2022,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,55973849.52,44566457.5,Weight in kilograms,44566457.5,3
Argentina,2022,"Fish; frozen, livers, roes and milt",Export,200522.0,81470.0,Weight in kilograms,81470.0,3
Argentina,2022,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",Export,1178782.56,440038.0,Weight in kilograms,440038.0,3
Argentina,2022,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",Import,522393.25,46176.72,Weight in kilograms,46176.72,3
Argentina,2022,"Fish fillets; fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, and Muraenolepididae",Export,1593311.2,488485.0,Weight in kilograms,488485.0,3
Argentina,2022,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Import,731319.31,240000.0,Weight in kilograms,240000.0,3
Argentina,2022,"Fish fillets; frozen, hake (Merluccius spp., Urophycis spp.)",Import,6488769.33,1909163.0,Weight in kilograms,1909163.0,3
Argentina,2022,"Fish fillets; frozen, hake (Merluccius spp., Urophycis spp.)",Export,201014548.39,61404054.1,Weight in kilograms,61404054.1,3
Argentina,2022,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollock",Export,2861250.52,907955.0,Weight in kilograms,907955.0,3
Argentina,2022,"Fish fillets; frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae other than cod, haddock, coalfish, hake, and Alaska pollock",Import,159826.33,55549.2,Weight in kilograms,55549.2,3
