Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
Brazil,2022,"Horses; live, pure-bred breeding animals",Export,4608118.0,83647.0,No Quantity,,1
Brazil,2022,"Horses; live, pure-bred breeding animals",Import,5776058.0,82110.0,Number of items,186.0,1
Brazil,2022,"Horses; live, other than pure-bred breeding animals",Export,4214048.0,132206.643,No Quantity,,1
Brazil,2022,"Horses; live, other than pure-bred breeding animals",Import,3234706.0,49400.0,Number of items,104.0,1
Brazil,2022,Asses; live,Export,12111.0,,No Quantity,,1
Brazil,2022,Mules and hinnies; live,Export,41628.0,6902.99,Number of items,23.0,1
Brazil,2022,"Cattle; live, pure-bred breeding animals",Export,647594.0,84679.138,Number of items,190.0,1
Brazil,2022,"Cattle; live, pure-bred breeding animals",Import,1008428.0,32250.0,Number of items,59.0,1
Brazil,2022,"Cattle; live, other than pure-bred breeding animals",Export,179272231.0,71393216.558,Number of items,182978.0,1
Brazil,2022,"Buffalo; live, pure-bred breeding animals",Export,32.0,10.0,Number of items,10.0,1
Brazil,2022,"Buffalo; live, other than pure-bred breeding animals",Export,454.0,62.0,Number of items,62.0,1
Brazil,2022,"Bovine animals; live, other than cattle and buffalo",Export,12333370.0,5163110.0,Number of items,11651.0,1
Brazil,2022,"Swine; live, pure-bred breeding animals",Export,500004.0,57675.0,Number of items,662.0,1
Brazil,2022,"Swine; live, pure-bred breeding animals",Import,6211744.0,157706.0,Number of items,1623.0,1
Brazil,2022,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Export,180.0,53.0,Number of items,3.0,1
Brazil,2022,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Export,1127369.0,285861.0,Number of items,2623.0,1
Brazil,2022,Sheep; live,Import,12197.0,1513.0,Number of items,14.0,1
Brazil,2022,Goats; live,Export,107.0,156.0,Number of items,156.0,1
Brazil,2022,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Export,101439474.0,999357.0,Number of items,20897788.0,1
Brazil,2022,"Poultry; live, ducks, weighing not more than 185g",Export,186.0,25.0,Number of items,20.0,1
Brazil,2022,"Poultry; live, geese, weighing not more than 185g",Export,33.0,12.0,Number of items,12.0,1
Brazil,2022,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Import,2800.0,150.0,Number of items,6.0,1
Brazil,2022,"Mammals; live, camels and other camelids (Camelidae)",Export,29.0,19.0,No Quantity,,1
Brazil,2022,"Mammals; live, camels and other camelids (Camelidae)",Import,77793.0,20285.0,Number of items,394.0,1
Brazil,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Export,30767.0,794.0,Number of items,483.0,1
Brazil,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Import,1316390.0,13440.075,Number of items,1199.0,1
Brazil,2022,Reptiles; live (including snakes and turtles),Export,110807.0,205.0,Number of items,3102.0,1
Brazil,2022,"Birds; live, birds of prey",Export,82.0,97.0,No Quantity,,1
Brazil,2022,"Birds; live, Psittaciformes",Export,37623.0,39.0,Number of items,5.0,1
Brazil,2022,"Birds; live, Psittaciformes",Import,55668.0,172.0,Number of items,644.0,1
Brazil,2022,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Export,450.0,15.0,Number of items,15.0,1
Brazil,2022,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Import,5306.0,36.0,Number of items,4.0,1
Brazil,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Export,48052.0,106.889,Number of items,632.0,1
Brazil,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Import,5789.0,14.0,Number of items,262.0,1
Brazil,2022,"Insects; live, bees",Export,319.0,142.487,No Quantity,,1
Brazil,2022,"Insects; live, other than bees",Export,3441.0,217.301,No Quantity,,1
Brazil,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Export,2317.0,124.0,Number of items,31.0,1
Brazil,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Import,47398.0,3230.0,Number of items,96.0,1
Brazil,2022,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",Export,5882.0,702.0,Weight in kilograms,702.0,2
Brazil,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Export,257689.0,51918.0,Weight in kilograms,51216.0,2
Brazil,2022,"Meat; of bovine animals, boneless cuts, fresh or chilled",Export,867821093.0,142019608.0,Weight in kilograms,142015328.0,2
Brazil,2022,"Meat; of bovine animals, boneless cuts, fresh or chilled",Import,186058354.0,29159233.0,Weight in kilograms,29159233.0,2
Brazil,2022,"Meat; of bovine animals, carcasses and half-carcasses, frozen",Export,3494.0,790.0,Weight in kilograms,790.0,2
Brazil,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,20362877.0,7001857.761,Weight in kilograms,7002443.761,2
Brazil,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Import,2466445.0,366586.0,Weight in kilograms,366586.0,2
Brazil,2022,"Meat; of bovine animals, boneless cuts, frozen",Export,10917859253.0,1842252722.0,Weight in kilograms,1842017321.0,2
Brazil,2022,"Meat; of bovine animals, boneless cuts, frozen",Import,180044939.0,23663825.0,Weight in kilograms,23663825.0,2
Brazil,2022,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",Export,117088.0,26806.0,Weight in kilograms,26800.0,2
Brazil,2022,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",Export,79336.0,18154.0,Weight in kilograms,18154.0,2
Brazil,2022,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",Export,9287282.0,3497619.0,Weight in kilograms,3496678.0,2
Brazil,2022,"Meat; of swine, carcasses and half-carcasses, frozen",Export,8541900.0,5030761.0,Weight in kilograms,5030742.0,2
Brazil,2022,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Export,33336631.0,22700378.0,Weight in kilograms,22700489.0,2
