Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
China,2022,"Horses; live, pure-bred breeding animals",Export,12000.0,8000.0,Number of items,0.449,1
China,2022,"Horses; live, other than pure-bred breeding animals",Import,22984741.0,397620.0,Number of items,1009.819,1
China,2022,"Cattle; live, pure-bred breeding animals",Import,308076261.0,32994354.0,Number of items,176782.05,1
China,2022,"Cattle; live, other than pure-bred breeding animals",Import,496270391.0,66830976.0,Number of items,519612.763,1
China,2022,"Bovine animals; live, other than cattle and buffalo",Export,53176960.0,8260791.0,Number of items,43995.402,1
China,2022,"Swine; live, pure-bred breeding animals",Import,15396463.0,338894.0,No Quantity,,1
China,2022,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Export,184363.0,50263.0,Number of items,3521.469,1
China,2022,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",Import,55356.0,210.0,Number of items,980.9,1
China,2022,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Import,180000.0,4540.0,Number of items,980.654,1
China,2022,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",Export,453677569.0,125595549.0,Number of items,2509254.589,1
China,2022,Sheep; live,Import,2918714.0,1005440.0,Number of items,25177.502,1
China,2022,Goats; live,Import,5487560.0,115635.0,No Quantity,,1
China,2022,Goats; live,Export,337121.0,44600.0,Number of items,901.886,1
China,2022,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Export,1572807.0,138568.0,No Quantity,,1
China,2022,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",Import,17679900.0,30087.0,No Quantity,,1
China,2022,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Import,4919421.0,1885.0,No Quantity,,1
China,2022,"Mammals; live, camels and other camelids (Camelidae)",Import,2223000.0,35000.0,No Quantity,,1
China,2022,"Mammals; live, rabbits and hares",Export,587388.0,16137.0,Number of items,94353.241,1
China,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Export,20196046.0,108326.371,No Quantity,,1
China,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Import,9483488.0,18011.759,Number of items,5098.911,1
China,2022,Reptiles; live (including snakes and turtles),Export,11240063.0,926199.0,Number of items,145510.37,1
China,2022,Reptiles; live (including snakes and turtles),Import,126159.0,28820.0,Number of items,5567.676,1
China,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Import,7143931.0,2511.0,No Quantity,,1
China,2022,"Insects; live, other than bees",Import,125568.0,490.895,No Quantity,,1
China,2022,"Insects; live, other than bees",Export,51096.0,17098.0,No Quantity,,1
China,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Export,1324212.0,620204.0,No Quantity,,1
China,2022,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Import,36245.0,432.178,No Quantity,,1
China,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Import,15004107.0,632159.0,Weight in kilograms,632159.0,2
China,2022,"Meat; of bovine animals, boneless cuts, fresh or chilled",Import,658751356.0,51488874.0,Weight in kilograms,51488874.0,2
China,2022,"Meat; of bovine animals, carcasses and half-carcasses, frozen",Import,3631037.0,1304068.0,Weight in kilograms,1304068.0,2
China,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Import,1486831622.0,432525595.0,Weight in kilograms,432525595.0,2
China,2022,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,4619.0,370.0,Weight in kilograms,370.0,2
China,2022,"Meat; of bovine animals, boneless cuts, frozen",Import,15593703187.0,2203563727.0,Weight in kilograms,2203563727.0,2
