Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
USA,2022,"Horses; live, pure-bred breeding animals",Export,181838604.0,2663713.13,Number of items,57378.0,1
USA,2022,"Horses; live, pure-bred breeding animals",Import,109366155.0,,Number of items,2624.0,1
USA,2022,"Horses; live, pure-bred breeding animals",Re-Export,20532748.0,300779.643,Number of items,7383.0,1
USA,2022,"Horses; live, other than pure-bred breeding animals",Import,688352528.0,26359012.244,Number of items,25135.0,1
USA,2022,"Horses; live, other than pure-bred breeding animals",Export,111747912.0,2535467.785,Number of items,49416.0,1
USA,2022,"Horses; live, other than pure-bred breeding animals",Re-Export,14031049.0,318352.908,Number of items,2601.0,1
USA,2022,Asses; live,Import,265768.0,,Number of items,8063.0,1
USA,2022,Asses; live,Export,358194.0,,Number of items,315.0,1
USA,2022,Mules and hinnies; live,Re-Export,1108635.0,,Number of items,917.0,1
USA,2022,Mules and hinnies; live,Import,11890.0,,Number of items,3.0,1
USA,2022,Mules and hinnies; live,Export,7978973.0,,Number of items,6560.0,1
USA,2022,"Cattle; live, pure-bred breeding animals",Re-Export,120591.0,33591.51,Number of items,32.0,1
USA,2022,"Cattle; live, pure-bred breeding animals",Export,66314110.0,18472283.227,Number of items,36016.0,1
USA,2022,"Cattle; live, pure-bred breeding animals",Import,13182873.0,3784095.72,Number of items,7511.0,1
USA,2022,"Cattle; live, other than pure-bred breeding animals",Re-Export,264801.0,89015.041,Number of items,426.0,1
USA,2022,"Cattle; live, other than pure-bred breeding animals",Export,383019853.0,128755283.634,Number of items,382987.0,1
USA,2022,"Cattle; live, other than pure-bred breeding animals",Import,1709707394.0,614285320.0,Number of items,1620580.0,1
USA,2022,"Buffalo; live, pure-bred breeding animals",Import,85500.0,,Number of items,25.0,1
USA,2022,"Buffalo; live, pure-bred breeding animals",Export,535814.0,,Number of items,428.0,1
USA,2022,"Buffalo; live, pure-bred breeding animals",Re-Export,127656.0,,Number of items,67.0,1
USA,2022,"Buffalo; live, other than pure-bred breeding animals",Re-Export,22801.0,,Number of items,27.0,1
